,BCH-USD,BTC-USD,ETH-USD,LTC-USD,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-11 12:03:00,10.903203470000012,9.299114867500002,-10.4031542225,-8.623183037499999,31906.576764670026,65865.96125571322,-1.095448551317437,97772.53802038325,0.33050357385491885
2018-09-11 12:04:00,10.903203470000012,8.944340952500001,-10.4031542225,-8.623183037499999,34130.05581097604,63645.17918139218,2.696971984971002,97775.23499236822,1.1130153517685375
2018-09-11 12:05:00,10.903203470000012,7.944340952500001,-10.4031542225,-8.623183037499999,40403.910341686445,57381.80138303238,10.476732350605559,97785.71172471883,3.1379849999999996
2018-09-11 12:06:00,10.903203470000012,7.628968840000001,-10.4031542225,-8.623183037499999,42381.59110382358,55407.73438740289,3.613766507640892,97789.32549122647,0.9897863081330156
2018-09-11 12:07:00,10.903203470000012,7.3775017375,-10.4031542225,-8.623183037499999,43959.26422429802,53826.9367557668,-3.1245111616424106,97786.20098006482,0.7892222715170529
2018-09-11 12:08:00,10.903203470000012,6.3775017375,-10.4031542225,-8.623183037499999,50239.40527726781,47541.89204408674,-4.903658710274781,97781.29732135455,3.13847125
2018-09-11 12:09:00,10.903203470000012,5.3775017375,-10.4031542225,-8.623183037499999,56515.765355598276,41259.846148641554,-5.685817114721291,97775.61150423983,3.13823625
2018-09-11 12:10:00,10.903203470000012,4.3775017375,-10.4031542225,-8.623183037499999,62790.41588246175,34971.966920503604,-13.228701274481335,97762.38280296535,3.13712875
2018-09-11 12:11:00,10.903203470000012,3.3775017375000003,-10.4031542225,-7.623183037499999,69110.63531600969,28610.23953323976,-41.50795371589806,97720.87484924945,3.1592487500000006
2018-09-11 12:12:00,10.903203470000012,3.3775017375000003,-10.4031542225,-6.623183037499999,69166.21018263345,28548.54473846582,-6.119928150172106,97714.75492109927,0.026659999999999996
2018-09-11 12:13:00,10.903203470000012,3.3775017375000003,-10.4031542225,-5.623183037499999,69215.47031848294,28517.426979760232,18.142377143901488,97732.89729824317,0.02668875
