,BCH-USD,BTC-USD,ETH-USD,LTC-USD,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-28 05:34:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3178.1649403162155,95144.6969597055,-18.690291148703416,98322.86190002171,0.0
2018-09-28 05:35:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3140.894208325961,95163.33232570061,-18.6353659951375,98304.22653402657,0.0
2018-09-28 05:36:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3143.4331685750076,95162.0628455761,1.26948012453198,98305.49601415111,0.0
2018-09-28 05:37:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3133.601561238218,95166.97864924448,-4.915803668404946,98300.5802104827,0.0
2018-09-28 05:38:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3092.1739612636156,95187.69244923178,-20.713799987305133,98279.8664104954,0.0
2018-09-28 05:39:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3083.4852982130687,95192.03678075706,-4.34433152526151,98275.52207897013,0.0
2018-09-28 05:40:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,3040.142001487766,95213.70842911971,-21.671648362653563,98253.85043060748,0.0
2018-09-28 05:41:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2990.0729807945754,95238.7429394663,-25.03451034660178,98228.81592026088,0.0
2018-09-28 05:42:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2953.650660960877,95256.95409938316,-18.21115991683675,98210.60476034404,0.0
2018-09-28 05:43:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2921.776244560635,95272.89130758328,-15.937208200125093,98194.66755214392,0.0
2018-09-28 05:44:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2901.4413624162407,95283.05874865549,-10.167441072195475,98184.50011107173,0.0
2018-09-28 05:45:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2895.1906806994375,95286.18408951389,-3.1253408584022475,98181.37477021333,0.0
2018-09-28 05:46:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2891.6640397437586,95287.94740999173,-1.7633204778462643,98179.61144973549,0.0
2018-09-28 05:47:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2951.519244485622,95258.01980762079,29.927602370927882,98209.53905210641,0.0
2018-09-28 05:48:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2951.539204066343,95258.00982783042,0.009979790354651685,98209.54903189676,0.0
2018-09-28 05:49:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2962.2583287768066,95252.6502654752,5.359562355244247,98214.908594252,0.0
2018-09-28 05:50:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2931.8333117662405,95267.86277398048,-15.212508505275771,98199.69608574672,0.0
2018-09-28 05:51:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2906.7957328766497,95280.38156342527,-12.51878944479993,98187.17729630192,0.0
2018-09-28 05:52:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2905.586109560434,95280.98637508338,-0.6048116581038754,98186.57248464381,0.0
2018-09-28 05:53:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2902.9061687908397,95282.32634546817,-1.3399703848023965,98185.23251425901,0.0
2018-09-28 05:54:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2863.474882261042,95302.04198873308,-19.715643264894744,98165.51687099412,0.0
2018-09-28 05:55:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2896.6122824211197,95285.47328865304,16.568700080031803,98182.08557107416,0.0
2018-09-28 05:56:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2938.3735248658923,95264.59266743065,20.880621222379464,98202.96619229655,0.0
2018-09-28 05:57:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2941.692285588404,95262.9332870694,1.6593803612593496,98204.62557265781,0.0
2018-09-28 05:58:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2950.9293238395912,95258.31476794381,4.618519125592462,98209.2440917834,0.0
2018-09-28 05:59:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2937.8208982765063,95264.86898072535,-6.554212781543441,98202.68987900186,0.0
2018-09-28 06:00:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2900.760881945316,95283.39898889094,-18.530008165606695,98184.15987083626,0.0
2018-09-28 06:01:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2860.238967264755,95303.65994623123,-20.26095734026644,98163.89891349598,0.0
